CountryName,CountryCode,Year,Livestock production index (2004-2006 = 100)
Afghanistan,AFG,1961,43.45
Albania,ALB,1961,22.99
Algeria,DZA,1961,16.31
American Samoa,ASM,1961,118.01
Angola,AGO,1961,36.66
Antigua and Barbuda,ATG,1961,42.06
Argentina,ARG,1961,61.52
Australia,AUS,1961,51.45
Austria,AUT,1961,67.06
"Bahamas, The",BHS,1961,28.38
Bahrain,BHR,1961,24.23
Bangladesh,BGD,1961,32.06
Barbados,BRB,1961,23.51
Belize,BLZ,1961,13.65
Benin,BEN,1961,28.72
Bermuda,BMU,1961,170.89
Bhutan,BTN,1961,42.53
Bolivia,BOL,1961,19.9
Botswana,BWA,1961,54.58
Brazil,BRA,1961,13.63
Brunei Darussalam,BRN,1961,8.08
Bulgaria,BGR,1961,108.32
Burkina Faso,BFA,1961,20.65
Burundi,BDI,1961,59.81
Cabo Verde,CPV,1961,10.11
Cambodia,KHM,1961,18.7
Cameroon,CMR,1961,24.98
Canada,CAN,1961,47.47
Cayman Islands,CYM,1961,99
Chad,TCD,1961,52.38
Chile,CHL,1961,25.29
China,CHN,1961,4.35
Colombia,COL,1961,28.2
Comoros,COM,1961,52.94
"Congo, Dem. Rep.",ZAR,1961,81.17
"Congo, Rep.",COG,1961,26.52
Costa Rica,CRI,1961,20.1
Cote d'Ivoire,CIV,1961,29.03
Cuba,CUB,1961,98.01
Cyprus,CYP,1961,16.41
Denmark,DNK,1961,70.93
Djibouti,DJI,1961,15.2
Dominica,DMA,1961,32.84
Dominican Republic,DOM,1961,19.18
Ecuador,ECU,1961,12.12
"Egypt, Arab Rep.",EGY,1961,12.87
El Salvador,SLV,1961,30.73
Equatorial Guinea,GNQ,1961,36.13
Faeroe Islands,FRO,1961,98
Fiji,FJI,1961,23.61
Finland,FIN,1961,98.19
France,FRA,1961,69.12
French Polynesia,PYF,1961,29.95
Gabon,GAB,1961,57.73
"Gambia, The",GMB,1961,44.42
Germany,DEU,1961,75.8
Ghana,GHA,1961,27.27
Greece,GRC,1961,41.43
Greenland,GRL,1961,51.33
Grenada,GRD,1961,75.97
Guam,GUM,1961,98.44
Guatemala,GTM,1961,26.54
Guinea,GIN,1961,28.58
Guinea-Bissau,GNB,1961,38.93
Guyana,GUY,1961,35.53
Haiti,HTI,1961,39.15
Honduras,HND,1961,21.16
"Hong Kong SAR, China",HKG,1961,100.39
Hungary,HUN,1961,89.68
Iceland,ISL,1961,92.12
India,IND,1961,24.56
Indonesia,IDN,1961,16.85
"Iran, Islamic Rep.",IRN,1961,20.39
Iraq,IRQ,1961,92.83
Ireland,IRL,1961,45.29
Israel,ISR,1961,19.89
Italy,ITA,1961,60.28
Jamaica,JAM,1961,24.8
Japan,JPN,1961,30.34
Jordan,JOR,1961,9.32
Kenya,KEN,1961,23.88
Kiribati,KIR,1961,50.32
"Korea, Dem. Rep.",PRK,1961,28.69
"Korea, Rep.",KOR,1961,6.13
Kuwait,KWT,1961,14.17
Lao PDR,LAO,1961,17.55
Lebanon,LBN,1961,16.67
Lesotho,LSO,1961,57.9
Liberia,LBR,1961,34.84
Libya,LBY,1961,13.36
Liechtenstein,LIE,1961,40.39
"Macao SAR, China",MAC,1961,33.35
Madagascar,MDG,1961,63.98
Malawi,MWI,1961,19.87
Malaysia,MYS,1961,8.2
Maldives,MDV,1961,51.46
Mali,MLI,1961,30.52
Malta,MLT,1961,37.65
Mauritania,MRT,1961,55.44
Mauritius,MUS,1961,18.44
Mexico,MEX,1961,20.95
Mongolia,MNG,1961,109.26
Morocco,MAR,1961,27.6
Mozambique,MOZ,1961,32.29
Myanmar,MMR,1961,12.22
Namibia,NAM,1961,77.27
Nepal,NPL,1961,30.01
Netherlands,NLD,1961,45.09
New Caledonia,NCL,1961,66.85
New Zealand,NZL,1961,46.97
Nicaragua,NIC,1961,29.98
Niger,NER,1961,23.85
Nigeria,NGA,1961,22.3
Norway,NOR,1961,74.32
Oman,OMN,1961,8.65
Pakistan,PAK,1961,19.84
Panama,PAN,1961,21.14
Papua New Guinea,PNG,1961,34.2
Paraguay,PRY,1961,35.11
Peru,PER,1961,28.13
Philippines,PHL,1961,15.24
Poland,POL,1961,77.54
Portugal,PRT,1961,30.72
Puerto Rico,PRI,1961,69.24
Qatar,QAT,1961,12.31
Romania,ROM,1961,55.36
Rwanda,RWA,1961,21.62
Samoa,WSM,1961,32.62
Sao Tome and Principe,STP,1961,37.97
Saudi Arabia,SAU,1961,8
Senegal,SEN,1961,32.02
Seychelles,SYC,1961,19.53
Sierra Leone,SLE,1961,45.42
Singapore,SGP,1961,442.75
Solomon Islands,SLB,1961,26.31
Somalia,SOM,1961,44.65
South Africa,ZAF,1961,48.55
Spain,ESP,1961,23.48
Sri Lanka,LKA,1961,43.33
St. Kitts and Nevis,KNA,1961,116.73
St. Lucia,LCA,1961,49.27
St. Vincent and the Grenadines,VCT,1961,57.24
Sudan,SDN,1961,19.34
Suriname,SUR,1961,48.33
Swaziland,SWZ,1961,82.1
Sweden,SWE,1961,98
Switzerland,CHE,1961,72.27
Syrian Arab Republic,SYR,1961,12.44
Tanzania,TZA,1961,30.47
Thailand,THA,1961,34.92
Timor-Leste,TMP,1961,121.01
Togo,TGO,1961,28.44
Tonga,TON,1961,22.97
Trinidad and Tobago,TTO,1961,20.86
Tunisia,TUN,1961,21.21
Turkey,TUR,1961,46.25
Tuvalu,TUV,1961,20.94
Uganda,UGA,1961,26.87
United Arab Emirates,ARE,1961,11.54
United Kingdom,GBR,1961,79.53
United States,USA,1961,55.31
Uruguay,URY,1961,55.78
Vanuatu,VUT,1961,33.08
"Venezuela, RB",VEN,1961,17.89
Vietnam,VNM,1961,14.17
Virgin Islands (U.S.),VIR,1961,88.78
"Yemen, Rep.",YEM,1961,27.66
Zambia,ZMB,1961,28.89
Zimbabwe,ZWE,1961,41.75
Afghanistan,AFG,1962,44.08
Albania,ALB,1962,23.32
Algeria,DZA,1962,15.21
American Samoa,ASM,1962,103.22
Angola,AGO,1962,37.66
Antigua and Barbuda,ATG,1962,32.15
Argentina,ARG,1962,65.77
Armenia,ARM,1962,85.7
Australia,AUS,1962,56.45
Austria,AUT,1962,70.79
Azerbaijan,AZE,1962,79.6
"Bahamas, The",BHS,1962,29.2
Bahrain,BHR,1962,24.9
Bangladesh,BGD,1962,33.58
Barbados,BRB,1962,23.33
Belarus,BLR,1962,127.5
Belize,BLZ,1962,14.07
Benin,BEN,1962,30.12
Bermuda,BMU,1962,181.34
Bhutan,BTN,1962,45.5
Bolivia,BOL,1962,20.48
Bosnia and Herzegovina,BIH,1962,92.2
Botswana,BWA,1962,61.03
Brazil,BRA,1962,13.93
Brunei Darussalam,BRN,1962,13.69
Bulgaria,BGR,1962,110.77
Burkina Faso,BFA,1962,21.49
Burundi,BDI,1962,61.26
Cabo Verde,CPV,1962,10.14
Cambodia,KHM,1962,20.77
Cameroon,CMR,1962,24.97
Canada,CAN,1962,47.32
Cayman Islands,CYM,1962,108.3
Chad,TCD,1962,54.35
Chile,CHL,1962,26.67
China,CHN,1962,4.9
Colombia,COL,1962,29.99
Comoros,COM,1962,56.78
"Congo, Dem. Rep.",ZAR,1962,81.5
"Congo, Rep.",COG,1962,27.2
Costa Rica,CRI,1962,19.36
Cote d'Ivoire,CIV,1962,29.28
Croatia,HRV,1962,106.2
Cuba,CUB,1962,103.89
Cyprus,CYP,1962,17.18
Denmark,DNK,1962,71.37
Djibouti,DJI,1962,15.62
Dominica,DMA,1962,32.59
Dominican Republic,DOM,1962,19.01
Ecuador,ECU,1962,12.52
"Egypt, Arab Rep.",EGY,1962,13.31
El Salvador,SLV,1962,31.1
Equatorial Guinea,GNQ,1962,38.45
Estonia,EST,1962,175.5
Faeroe Islands,FRO,1962,99
Fiji,FJI,1962,25
Finland,FIN,1962,101.41
France,FRA,1962,69.49
French Polynesia,PYF,1962,30.18
Gabon,GAB,1962,61.32
"Gambia, The",GMB,1962,46.6
Georgia,GEO,1962,79.2
Germany,DEU,1962,77.05
Ghana,GHA,1962,28.24
Greece,GRC,1962,45.72
Greenland,GRL,1962,58.84
Grenada,GRD,1962,83.46
Guam,GUM,1962,95.66
Guatemala,GTM,1962,26.54
Guinea,GIN,1962,29.35
Guinea-Bissau,GNB,1962,38.91
Guyana,GUY,1962,37.02
Haiti,HTI,1962,40.02
Honduras,HND,1962,22.01
"Hong Kong SAR, China",HKG,1962,144.51
Hungary,HUN,1962,90.65
Iceland,ISL,1962,97.67
India,IND,1962,24.67
Indonesia,IDN,1962,17.65
"Iran, Islamic Rep.",IRN,1962,21.38
Iraq,IRQ,1962,93.28
Ireland,IRL,1962,43.72
Israel,ISR,1962,22.13
Italy,ITA,1962,60.97
Jamaica,JAM,1962,24.28
Japan,JPN,1962,34.9
Jordan,JOR,1962,10.65
Kazakhstan,KAZ,1962,147.6
Kenya,KEN,1962,23.81
Kiribati,KIR,1962,50.58
"Korea, Dem. Rep.",PRK,1962,29.05
"Korea, Rep.",KOR,1962,5.55
Kuwait,KWT,1962,14.27
Kyrgyz Republic,KGZ,1962,108.4
Lao PDR,LAO,1962,18.17
Latvia,LVA,1962,253.9
Lebanon,LBN,1962,20.17
Lesotho,LSO,1962,62.04
Liberia,LBR,1962,35.91
Libya,LBY,1962,13.57
Liechtenstein,LIE,1962,43.21
Lithuania,LTU,1962,150.5
"Macao SAR, China",MAC,1962,40.63
Madagascar,MDG,1962,66.57
Malawi,MWI,1962,20.86
Malaysia,MYS,1962,8.51
Maldives,MDV,1962,52.74
Mali,MLI,1962,31.98
Malta,MLT,1962,36.46
Mauritania,MRT,1962,56.76
Mauritius,MUS,1962,18.76
Mexico,MEX,1962,22.93
Moldova,MDA,1962,200.1
Mongolia,MNG,1962,98.8
Morocco,MAR,1962,25.96
Mozambique,MOZ,1962,33.64
Myanmar,MMR,1962,12.42
Namibia,NAM,1962,65.32
Nepal,NPL,1962,30.68
Netherlands,NLD,1962,47.66
New Caledonia,NCL,1962,69.65
New Zealand,NZL,1962,49.2
Nicaragua,NIC,1962,30.9
Niger,NER,1962,24.95
Nigeria,NGA,1962,20.56
Norway,NOR,1962,79.37
Oman,OMN,1962,8.83
Pakistan,PAK,1962,20.43
Panama,PAN,1962,23.78
Papua New Guinea,PNG,1962,35.07
Paraguay,PRY,1962,32.78
Peru,PER,1962,27.82
Philippines,PHL,1962,17.03
Poland,POL,1962,78.79
Portugal,PRT,1962,32.29
Puerto Rico,PRI,1962,73.79
Qatar,QAT,1962,12.22
Romania,ROM,1962,56.16
Russian Federation,RUS,1962,148.9
Rwanda,RWA,1962,22.17
Samoa,WSM,1962,35.21
Sao Tome and Principe,STP,1962,40.92
Saudi Arabia,SAU,1962,7.36
Senegal,SEN,1962,34.63
Seychelles,SYC,1962,18.58
Sierra Leone,SLE,1962,47.71
Singapore,SGP,1962,440.47
Solomon Islands,SLB,1962,27.17
Somalia,SOM,1962,46.35
South Africa,ZAF,1962,49.06
Spain,ESP,1962,23.83
Sri Lanka,LKA,1962,45.94
St. Kitts and Nevis,KNA,1962,117.5
St. Lucia,LCA,1962,49.19
St. Vincent and the Grenadines,VCT,1962,58.92
Sudan,SDN,1962,19.58
Suriname,SUR,1962,49.58
Swaziland,SWZ,1962,89.85
Sweden,SWE,1962,100.94
Switzerland,CHE,1962,73.95
Syrian Arab Republic,SYR,1962,13.72
Tanzania,TZA,1962,30.76
Thailand,THA,1962,35.64
Timor-Leste,TMP,1962,120.71
Togo,TGO,1962,28.99
Tonga,TON,1962,29.2
Trinidad and Tobago,TTO,1962,21.43
Tunisia,TUN,1962,20.65
Turkey,TUR,1962,47.53
Tuvalu,TUV,1962,20.94
Uganda,UGA,1962,25.51
United Arab Emirates,ARE,1962,11.58
United Kingdom,GBR,1962,80.92
United States,USA,1962,55.48
Uruguay,URY,1962,55.72
Vanuatu,VUT,1962,35.7
"Venezuela, RB",VEN,1962,18.7
Vietnam,VNM,1962,14.65
Virgin Islands (U.S.),VIR,1962,68.66
"Yemen, Rep.",YEM,1962,27.73
Zambia,ZMB,1962,28.83
Zimbabwe,ZWE,1962,42
Afghanistan,AFG,1963,47.12
Albania,ALB,1963,23.35
Algeria,DZA,1963,13.99
American Samoa,ASM,1963,130.9
Angola,AGO,1963,38.51
Antigua and Barbuda,ATG,1963,38.95
Argentina,ARG,1963,70.95
Armenia,ARM,1963,54
Australia,AUS,1963,59.12
Austria,AUT,1963,71.85
Azerbaijan,AZE,1963,68.6
"Bahamas, The",BHS,1963,31.01
Bahrain,BHR,1963,24.77
Bangladesh,BGD,1963,34.79
Barbados,BRB,1963,25
Belarus,BLR,1963,117.1
Belize,BLZ,1963,15.05
Benin,BEN,1963,33.42
Bermuda,BMU,1963,194.82
Bhutan,BTN,1963,48.24
Bolivia,BOL,1963,20.81
Bosnia and Herzegovina,BIH,1963,89.6
Botswana,BWA,1963,67.44
Brazil,BRA,1963,14.09
Brunei Darussalam,BRN,1963,12.54
Bulgaria,BGR,1963,109.51
Burkina Faso,BFA,1963,21.98
Burundi,BDI,1963,61.74
Cabo Verde,CPV,1963,11.23
Cambodia,KHM,1963,21.19
Cameroon,CMR,1963,25.7
Canada,CAN,1963,47.82
Cayman Islands,CYM,1963,99
Chad,TCD,1963,54.25
Chile,CHL,1963,28.16
China,CHN,1963,6.65
Colombia,COL,1963,30.86
Comoros,COM,1963,60.64
"Congo, Dem. Rep.",ZAR,1963,81.68
"Congo, Rep.",COG,1963,28.32
Costa Rica,CRI,1963,22.33
Cote d'Ivoire,CIV,1963,29.67
Croatia,HRV,1963,96.8
Cuba,CUB,1963,108.92
Cyprus,CYP,1963,18.28
Czech Republic,CZE,1963,133.6
Denmark,DNK,1963,70.51
Djibouti,DJI,1963,16.14
Dominica,DMA,1963,31.94
Dominican Republic,DOM,1963,18.9
Ecuador,ECU,1963,12.8
"Egypt, Arab Rep.",EGY,1963,13.01
El Salvador,SLV,1963,33.28
Equatorial Guinea,GNQ,1963,38.43
Eritrea,ERI,1963,62
Estonia,EST,1963,147.3
Ethiopia,ETH,1963,63.6
Faeroe Islands,FRO,1963,100
Fiji,FJI,1963,26.74
Finland,FIN,1963,105.4
France,FRA,1963,70.04
French Polynesia,PYF,1963,31.31
Gabon,GAB,1963,64.87
"Gambia, The",GMB,1963,49.44
Georgia,GEO,1963,74.5
Germany,DEU,1963,79.59
Ghana,GHA,1963,29.16
Greece,GRC,1963,48.81
Greenland,GRL,1963,52.63
Grenada,GRD,1963,86.22
Guam,GUM,1963,133.18
Guatemala,GTM,1963,28.72
Guinea,GIN,1963,30.29
Guinea-Bissau,GNB,1963,38.93
Guyana,GUY,1963,37.94
