CountryName,CountryCode,Year,Arable land (% of land area)
Afghanistan,AFG,1961,11.71767301
Albania,ALB,1961,15.76642336
Algeria,DZA,1961,2.717341104
American Samoa,ASM,1961,5
Andorra,ADO,1961,2.127659574
Angola,AGO,1961,2.141653966
Antigua and Barbuda,ATG,1961,18.18181818
Argentina,ARG,1961,6.795435362
Aruba,ABW,1961,11.11111111
Australia,AUS,1961,3.92916184
Austria,AUT,1961,20.45289416
"Bahamas, The",BHS,1961,0.699300699
Bahrain,BHR,1961,1.449275362
Bangladesh,BGD,1961,66.10586157
Barbados,BRB,1961,37.20930233
Belize,BLZ,1961,1.578255151
Benin,BEN,1961,8.158921603
Bermuda,BMU,1961,8
Bhutan,BTN,1961,2.140273527
Bolivia,BOL,1961,1.194498292
Botswana,BWA,1961,0.70403896
Brazil,BRA,1961,2.646282546
Brunei Darussalam,BRN,1961,0.759013283
Bulgaria,BGR,1961,38.43442104
Burkina Faso,BFA,1961,7.763157895
Burundi,BDI,1961,26.28504673
Cabo Verde,CPV,1961,9.429280397
Cambodia,KHM,1961,16.0774983
Cameroon,CMR,1961,10.57730956
Canada,CAN,1961,4.491444998
Cayman Islands,CYM,1961,0.833333333
Chad,TCD,1961,2.299206349
Channel Islands,CHI,1961,20.6185567
Chile,CHL,1961,4.895552579
China,CHN,1961,10.92855431
Colombia,COL,1961,3.183415953
Comoros,COM,1961,34.92745836
"Congo, Dem. Rep.",ZAR,1961,2.823051984
"Congo, Rep.",COG,1961,1.522693997
Costa Rica,CRI,1961,5.581668625
Cote d'Ivoire,CIV,1961,5.283018868
Cuba,CUB,1961,13.5009311
Cyprus,CYP,1961,35.60606061
Denmark,DNK,1961,66.24970498
Djibouti,DJI,1961,0.043140638
Dominica,DMA,1961,9.333333333
Dominican Republic,DOM,1961,14.90066225
Ecuador,ECU,1961,6.158792082
"Egypt, Arab Rep.",EGY,1961,2.510422422
El Salvador,SLV,1961,23.40527578
Equatorial Guinea,GNQ,1961,3.921568627
Ethiopia,ETH,1961,9.990917348
Faeroe Islands,FRO,1961,2.148997135
Fiji,FJI,1961,4.871373837
Finland,FIN,1961,8.748481565
France,FRA,1961,35.80572936
French Polynesia,PYF,1961,0.546448087
Gabon,GAB,1961,0.349283968
"Gambia, The",GMB,1961,11.95652174
Germany,DEU,1961,35.00128892
Ghana,GHA,1961,7.471213853
Greece,GRC,1961,21.67571761
Grenada,GRD,1961,14.70588235
Guam,GUM,1961,3.703703704
Guatemala,GTM,1961,10.26502426
Guinea,GIN,1961,14.32524825
Guinea-Bissau,GNB,1961,8.357041252
Guyana,GUY,1961,1.779268975
Haiti,HTI,1961,32.65602322
Honduras,HND,1961,11.57386719
"Hong Kong SAR, China",HKG,1961,12.74509804
Hungary,HUN,1961,57.68547312
Iceland,ISL,1961,1.197007481
India,IND,1961,52.40364726
Indonesia,IDN,1961,9.936132747
"Iran, Islamic Rep.",IRN,1961,9.198366645
Iraq,IRQ,1961,10.51741089
Ireland,IRL,1961,23.0802729
Isle of Man,IMY,1961,43.85964912
Israel,ISR,1961,14.69500924
Italy,ITA,1961,43.73193703
Jamaica,JAM,1961,15.32779317
Japan,JPN,1961,15.43496046
Jordan,JOR,1961,3.059836809
Kenya,KEN,1961,6.149629265
Kiribati,KIR,1961,2.469135802
"Korea, Dem. Rep.",PRK,1961,17.85565983
"Korea, Rep.",KOR,1961,21.07609372
Kuwait,KWT,1961,0.056116723
Lao PDR,LAO,1961,2.772963605
Lebanon,LBN,1961,16.81329423
Lesotho,LSO,1961,11.79183136
Liberia,LBR,1961,3.924418605
Libya,LBY,1961,0.96616161
Liechtenstein,LIE,1961,25
Madagascar,MDG,1961,3.310176428
Malawi,MWI,1961,13.78871447
Malaysia,MYS,1961,2.399939126
Maldives,MDV,1961,6.666666667
Mali,MLI,1961,1.342413886
Malta,MLT,1961,53.125
Mauritania,MRT,1961,0.259047249
Mauritius,MUS,1961,44.33497537
Mexico,MEX,1961,10.03472312
Mongolia,MNG,1961,0.401658127
Morocco,MAR,1961,14.76452928
Mozambique,MOZ,1961,3.107912205
Myanmar,MMR,1961,15.14826942
Namibia,NAM,1961,0.778583488
Nepal,NPL,1961,12.62937063
Netherlands,NLD,1961,29.38388626
New Caledonia,NCL,1961,0.382932166
New Zealand,NZL,1961,11.39341461
Nicaragua,NIC,1961,8.559082599
Niger,NER,1961,9.077919002
Nigeria,NGA,1961,25.99614612
Norway,NOR,1961,2.343632356
Oman,OMN,1961,0.064620355
Pakistan,PAK,1961,39.66894977
Panama,PAN,1961,5.891848265
Papua New Guinea,PNG,1961,0.165614097
Paraguay,PRY,1961,1.761892776
Peru,PER,1961,1.403125
Philippines,PHL,1961,16.4319721
Poland,POL,1961,52.05524176
Portugal,PRT,1961,27.3989071
Puerto Rico,PRI,1961,25.25366404
Qatar,QAT,1961,0.086132644
Romania,ROM,1961,42.7758965
Rwanda,RWA,1961,19.65950547
Samoa,WSM,1961,3.533568905
San Marino,SMR,1961,16.66666667
Sao Tome and Principe,STP,1961,1.041666667
Saudi Arabia,SAU,1961,0.530309021
Senegal,SEN,1961,15.23398951
Seychelles,SYC,1961,2.173913043
Sierra Leone,SLE,1961,4.918259906
Singapore,SGP,1961,4.47761194
Solomon Islands,SLB,1961,0.357270454
Somalia,SOM,1961,1.420282462
South Africa,ZAF,1961,9.892093744
Spain,ESP,1961,32.50630277
Sri Lanka,LKA,1961,9.488119917
St. Kitts and Nevis,KNA,1961,28.57142857
St. Lucia,LCA,1961,8.196721311
St. Vincent and the Grenadines,VCT,1961,15.38461538
Sudan,SDN,1961,4.53493266
Suriname,SUR,1961,0.179487179
Swaziland,SWZ,1961,7.209302326
Sweden,SWE,1961,8.648925281
Switzerland,CHE,1961,10.02074479
Syrian Arab Republic,SYR,1961,33.4421591
Tanzania,TZA,1961,5.870399639
Thailand,THA,1961,20.35663254
Timor-Leste,TMP,1961,4.707464694
Togo,TGO,1961,33.09431881
Tonga,TON,1961,16.66666667
Trinidad and Tobago,TTO,1961,11.11111111
Tunisia,TUN,1961,19.95365602
Turkey,TUR,1961,29.90138118
Turks and Caicos Islands,TCA,1961,1.052631579
Uganda,UGA,1961,15.76497673
United Arab Emirates,ARE,1961,0.059808612
United Kingdom,GBR,1961,29.6573389
United States,USA,1961,19.72167146
Uruguay,URY,1961,14.02125471
Vanuatu,VUT,1961,0.820344545
"Venezuela, RB",VEN,1961,3.287795476
Vietnam,VNM,1961,17.05121509
Virgin Islands (U.S.),VIR,1961,11.42857143
West Bank and Gaza,WBG,1961,16.61129568
"Yemen, Rep.",YEM,1961,2.390287327
Zambia,ZMB,1961,3.428886587
Zimbabwe,ZWE,1961,4.872689673
Afghanistan,AFG,1962,11.79425911
Albania,ALB,1962,15.91240876
Algeria,DZA,1962,2.645124993
American Samoa,ASM,1962,5
Andorra,ADO,1962,2.127659574
Angola,AGO,1962,2.165717494
Antigua and Barbuda,ATG,1962,15.90909091
Argentina,ARG,1962,7.008466432
Aruba,ABW,1962,11.11111111
Australia,AUS,1962,4.178826653
Austria,AUT,1962,20.35601841
"Bahamas, The",BHS,1962,0.699300699
Bahrain,BHR,1962,1.449275362
Bangladesh,BGD,1962,66.04440347
Barbados,BRB,1962,37.20930233
Belize,BLZ,1962,1.578255151
Benin,BEN,1962,8.336289464
Bermuda,BMU,1962,6
Bhutan,BTN,1962,2.140273527
Bolivia,BOL,1962,1.196344503
Botswana,BWA,1962,0.70403896
Brazil,BRA,1962,2.871452261
Brunei Darussalam,BRN,1962,0.759013283
Bulgaria,BGR,1962,37.54858537
Burkina Faso,BFA,1962,7.799707602
Burundi,BDI,1962,27.25856698
Cabo Verde,CPV,1962,9.429280397
Cambodia,KHM,1962,16.14547927
Cameroon,CMR,1962,10.68308265
Canada,CAN,1962,4.533343011
Cayman Islands,CYM,1962,0.833333333
Chad,TCD,1962,2.299206349
Channel Islands,CHI,1962,20.6185567
Chile,CHL,1962,4.922451219
China,CHN,1962,10.89659947
Colombia,COL,1962,3.183415953
Comoros,COM,1962,34.92745836
"Congo, Dem. Rep.",ZAR,1962,2.823051984
"Congo, Rep.",COG,1962,1.522693997
Costa Rica,CRI,1962,5.581668625
Cote d'Ivoire,CIV,1962,5.283018868
Cuba,CUB,1962,14.01303538
Cyprus,CYP,1962,35.38961039
Denmark,DNK,1962,65.44725041
Djibouti,DJI,1962,0.043140638
Dominica,DMA,1962,10.66666667
Dominican Republic,DOM,1962,15.10761589
Ecuador,ECU,1962,6.158792082
"Egypt, Arab Rep.",EGY,1962,2.444120749
El Salvador,SLV,1962,23.40527578
Equatorial Guinea,GNQ,1962,4.099821747
Ethiopia,ETH,1962,10.40781108
Faeroe Islands,FRO,1962,2.148997135
Fiji,FJI,1962,4.871373837
Finland,FIN,1962,8.795758232
France,FRA,1962,35.6669333
French Polynesia,PYF,1962,0.546448087
Gabon,GAB,1962,0.388093298
"Gambia, The",GMB,1962,12.05533597
Germany,DEU,1962,34.90103973
Ghana,GHA,1962,7.471213853
Greece,GRC,1962,22.21101629
Grenada,GRD,1962,14.70588235
Guam,GUM,1962,3.703703704
Guatemala,GTM,1962,10.26502426
Guinea,GIN,1962,14.32117858
Guinea-Bissau,GNB,1962,8.357041252
Guyana,GUY,1962,1.779268975
Haiti,HTI,1962,32.65602322
Honduras,HND,1962,11.66324068
"Hong Kong SAR, China",HKG,1962,12.74509804
Hungary,HUN,1962,57.67607198
Iceland,ISL,1962,1.197007481
India,IND,1962,52.7043344
Indonesia,IDN,1962,9.936132747
"Iran, Islamic Rep.",IRN,1962,9.204507077
Iraq,IRQ,1962,10.63173057
Ireland,IRL,1962,22.74640732
Isle of Man,IMY,1962,43.85964912
Israel,ISR,1962,14.27911275
Italy,ITA,1962,43.50413111
Jamaica,JAM,1962,15.32779317
Japan,JPN,1962,15.32587947
Jordan,JOR,1962,3.082502267
Kenya,KEN,1962,6.149629265
Kiribati,KIR,1962,2.469135802
"Korea, Dem. Rep.",PRK,1962,17.85565983
"Korea, Rep.",KOR,1962,20.71324902
Kuwait,KWT,1962,0.056116723
Lao PDR,LAO,1962,2.772963605
Lebanon,LBN,1962,17.59530792
Lesotho,LSO,1962,11.62714097
Liberia,LBR,1962,3.903654485
Libya,LBY,1962,0.971844914
Liechtenstein,LIE,1962,25
Madagascar,MDG,1962,3.335970011
Malawi,MWI,1962,14.84938481
Malaysia,MYS,1962,2.479987825
Maldives,MDV,1962,6.666666667
Mali,MLI,1962,1.346511609
Malta,MLT,1962,50
Mauritania,MRT,1962,0.259047249
Mauritius,MUS,1962,44.82758621
Mexico,MEX,1962,9.948815556
Mongolia,MNG,1962,0.466026417
Morocco,MAR,1962,14.76452928
Mozambique,MOZ,1962,3.115542104
Myanmar,MMR,1962,15.16357071
Namibia,NAM,1962,0.778583488
Nepal,NPL,1962,12.62937063
Netherlands,NLD,1962,28.61374408
New Caledonia,NCL,1962,0.382932166
New Zealand,NZL,1962,11.35543656
Nicaragua,NIC,1962,8.559082599
Niger,NER,1962,9.077919002
Nigeria,NGA,1962,26.79051791
Norway,NOR,1962,2.33815658
Oman,OMN,1962,0.064620355
Pakistan,PAK,1962,39.81164384
Panama,PAN,1962,5.891848265
Papua New Guinea,PNG,1962,0.165614097
Paraguay,PRY,1962,1.789579663
Peru,PER,1962,1.50703125
Philippines,PHL,1962,16.36156374
Poland,POL,1962,51.6797806
Portugal,PRT,1962,27.35519126
Puerto Rico,PRI,1962,24.01352875
Qatar,QAT,1962,0.086132644
Romania,ROM,1962,43.07545368
Rwanda,RWA,1962,19.86218079
Samoa,WSM,1962,3.886925795
San Marino,SMR,1962,16.66666667
Sao Tome and Principe,STP,1962,1.041666667
Saudi Arabia,SAU,1962,0.539612688
Senegal,SEN,1962,15.23398951
Seychelles,SYC,1962,2.173913043
Sierra Leone,SLE,1962,4.987531172
Singapore,SGP,1962,5.970149254
Solomon Islands,SLB,1962,0.357270454
Somalia,SOM,1962,1.428252622
South Africa,ZAF,1962,9.933310801
Spain,ESP,1962,32.60634679
Sri Lanka,LKA,1962,9.201084357
St. Kitts and Nevis,KNA,1962,28.57142857
St. Lucia,LCA,1962,8.196721311
St. Vincent and the Grenadines,VCT,1962,15.38461538
Sudan,SDN,1962,4.577020202
Suriname,SUR,1962,0.185897436
Swaziland,SWZ,1962,7.790697674
Sweden,SWE,1962,8.490520057
Switzerland,CHE,1962,10.06122242
Syrian Arab Republic,SYR,1962,33.73598868
Tanzania,TZA,1962,5.701061188
Thailand,THA,1962,20.74810625
Timor-Leste,TMP,1962,4.707464694
Togo,TGO,1962,33.09431881
Tonga,TON,1962,19.44444444
Trinidad and Tobago,TTO,1962,11.11111111
Tunisia,TUN,1962,19.95365602
Turkey,TUR,1962,30.05470161
Turks and Caicos Islands,TCA,1962,1.052631579
Uganda,UGA,1962,16.01521445
United Arab Emirates,ARE,1962,0.059808612
United Kingdom,GBR,1962,29.90947795
United States,USA,1962,19.3357106
Uruguay,URY,1962,13.68986402
Vanuatu,VUT,1962,0.820344545
"Venezuela, RB",VEN,1962,3.287795476
Vietnam,VNM,1962,17.05121509
Virgin Islands (U.S.),VIR,1962,11.42857143
West Bank and Gaza,WBG,1962,16.61129568
"Yemen, Rep.",YEM,1962,2.411121844
Zambia,ZMB,1962,3.432922154
Zimbabwe,ZWE,1962,5.001938736
Afghanistan,AFG,1963,11.8708452
Albania,ALB,1963,16.05839416
Algeria,DZA,1963,2.603138882
American Samoa,ASM,1963,5
Andorra,ADO,1963,2.127659574
Angola,AGO,1963,2.181759846
Antigua and Barbuda,ATG,1963,18.18181818
Argentina,ARG,1963,7.1619365
Aruba,ABW,1963,11.11111111
Australia,AUS,1963,4.300014319
Austria,AUT,1963,20.05328167
"Bahamas, The",BHS,1963,0.699300699
Bahrain,BHR,1963,1.449275362
Bangladesh,BGD,1963,66.10586157
Barbados,BRB,1963,37.20930233
Belize,BLZ,1963,1.622095572
Benin,BEN,1963,8.513657325
Bermuda,BMU,1963,6
Bhutan,BTN,1963,2.140273527
Bolivia,BOL,1963,1.203729346
Botswana,BWA,1963,0.70403896
Brazil,BRA,1963,3.110739949
Brunei Darussalam,BRN,1963,0.759013283
Bulgaria,BGR,1963,37.40395914
Burkina Faso,BFA,1963,7.83625731
Burundi,BDI,1963,28.19314642
Cabo Verde,CPV,1963,9.429280397
Cambodia,KHM,1963,16.14547927
Cameroon,CMR,1963,10.78885575
Canada,CAN,1963,4.575131055
Cayman Islands,CYM,1963,0.833333333
Chad,TCD,1963,2.299206349
Channel Islands,CHI,1963,20.6185567
Chile,CHL,1963,4.94934986
China,CHN,1963,10.87529625
Colombia,COL,1963,3.199639477
Comoros,COM,1963,34.92745836
"Congo, Dem. Rep.",ZAR,1963,2.823051984
"Congo, Rep.",COG,1963,1.522693997
Costa Rica,CRI,1963,5.581668625
Cote d'Ivoire,CIV,1963,5.283018868
Cuba,CUB,1963,14.82309125
Cyprus,CYP,1963,35.17316017
Denmark,DNK,1963,64.76280387
Djibouti,DJI,1963,0.043140638
Dominica,DMA,1963,10.66666667
Dominican Republic,DOM,1963,15.31456954
Ecuador,ECU,1963,6.176853056
"Egypt, Arab Rep.",EGY,1963,2.424029333
El Salvador,SLV,1963,23.40527578
Equatorial Guinea,GNQ,1963,4.278074866
Ethiopia,ETH,1963,10.5640327
Faeroe Islands,FRO,1963,2.148997135
Fiji,FJI,1963,4.707170224
Finland,FIN,1963,8.849601103
France,FRA,1963,35.52996351
French Polynesia,PYF,1963,0.546448087
